Timestamp,EventName
351378.779001,開始: 順化中
351559.5978262,終了: 順化中
351559.5979736,開始: ベースライン測定中
351860.0781295,終了: ベースライン測定中
351860.0783368,開始: Instruction Task 1
351864.9135745,開始: Task 1: Low (写経)
352165.6200897,終了: Task 1: Low (写経)
352165.6212875,開始: Survey after Task 1
352171.5808127,提出: Survey after Task 1
352171.580925,開始: 休憩 1
352352.5035439,終了: 休憩 1
352352.5037544,開始: Instruction Task 2
352379.3699447,開始: Task 2: Medium (写経+音声)
352679.6024457,終了: Task 2: Medium (写経+音声)
352679.6048622,開始: Survey after Task 2
352687.9099156,提出: Survey after Task 2
352687.9099995,開始: 休憩 2
352868.6334735,終了: 休憩 2
352868.6335975,開始: Instruction Task 3
352869.7470587,開始: Task 3: High (写経+音声)
353170.2768407,終了: Task 3: High (写経+音声)
353170.2789344,開始: Survey after Task 3
353178.0465573,提出: Survey after Task 3
353178.0466466,開始: Recovery
353478.0656628,終了: Recovery
353478.0658554,開始: 実験完了
353479.072971,終了: 実験完了
353479.2574428,実験完了
