Timestamp,EventName
356713.5731309,開始: 順化中
356893.863347,終了: 順化中
356893.8636284,開始: ベースライン測定中
357193.962466,終了: ベースライン測定中
357193.9627029,開始: Instruction Task 1
357195.3315042,開始: Task 1: Low (写経)
357495.5643269,終了: Task 1: Low (写経)
357495.5663958,開始: Survey after Task 1
357497.9633033,提出: Survey after Task 1
357497.9634683,開始: 休憩 1
357678.7638185,終了: 休憩 1
357678.7640308,開始: Instruction Task 2
357679.6635638,開始: Task 2: Medium (写経+音声)
357979.7439011,終了: Task 2: Medium (写経+音声)
357979.7453658,開始: Survey after Task 2
357988.3006945,提出: Survey after Task 2
357988.300879,開始: 休憩 2
358168.5131411,終了: 休憩 2
358168.5133507,開始: Instruction Task 3
358386.2510394,開始: Task 3: High (写経+音声)
358686.4659889,終了: Task 3: High (写経+音声)
358686.469579,開始: Survey after Task 3
358695.0098451,提出: Survey after Task 3
358695.0100265,開始: Recovery
358995.230973,終了: Recovery
358995.2311744,開始: 実験完了
358997.2183518,終了: 実験完了
358997.2785348,実験完了
