Timestamp,EventName
57137.9696568,開始: 順化中
57318.7416646,終了: 順化中
57318.7419412,開始: ベースライン測定中
57619.1966253,終了: ベースライン測定中
57619.1969268,開始: Task 1: Low (写経)
57919.5396601,終了: Task 1: Low (写経)
57919.5412798,開始: Survey after Task 1
57930.5918641,提出: Survey after Task 1
57930.5920249,開始: 休憩 1
58194.7547201,提出: 休憩 1
58194.7549008,開始: Task 2: Medium (写経+音声)
58196.3904621,提出: Task 2: Medium (写経+音声)
58196.3906307,開始: Survey after Task 2
58211.5881403,提出: Survey after Task 2
58211.588305,開始: 休憩 2
58212.1072997,提出: 休憩 2
58212.1074832,開始: Task 3: High (写経+音声)
58212.6118891,提出: Task 3: High (写経+音声)
58212.612068,開始: Survey after Task 3
58213.3054128,提出: Survey after Task 3
58213.3055979,開始: Recovery
58213.7998613,提出: Recovery
58213.800031,開始: 実験完了
58214.955231,終了: 実験完了
58215.0893715,実験完了
