Timestamp,EventName
3215.0852598,開始: 順化中
3395.6168067,終了: 順化中
3395.6170825,開始: ベースライン測定中
3696.2397652,終了: ベースライン測定中
3696.2400874,開始: Task 1: Low (写経)
3996.9503105,終了: Task 1: Low (写経)
3996.9521567,開始: Survey after Task 1
4003.4968406,提出: Survey after Task 1
4003.4970136,開始: 休憩 1
4183.8682446,終了: 休憩 1
4183.8685598,開始: Task 2: Medium (写経+音声)
4484.6922866,終了: Task 2: Medium (写経+音声)
4486.6972403,開始: Survey after Task 2
4486.7172662,提出: Survey after Task 2
4486.7174302,開始: 休憩 2
4667.6892519,終了: 休憩 2
4667.6895929,開始: Task 3: High (写経+音声)
4968.2913102,終了: Task 3: High (写経+音声)
4970.2928062,開始: Survey after Task 3
4970.3164036,提出: Survey after Task 3
4970.3166127,開始: Recovery
5270.6119985,終了: Recovery
5270.6122893,開始: 実験完了
5271.6176022,終了: 実験完了
5271.9450331,実験完了
