Timestamp,EventName
289461.8415546,開始: 順化中
289642.5416613,終了: 順化中
289642.5418531,開始: ベースライン測定中
289942.8667873,終了: ベースライン測定中
289942.8669266,開始: Instruction Task 1
289947.2564054,開始: Task 1: Low (写経)
290247.4200252,終了: Task 1: Low (写経)
290247.4214357,開始: Survey after Task 1
290251.4116778,提出: Survey after Task 1
290251.4118091,開始: 休憩 1
290432.316282,終了: 休憩 1
290432.3164626,開始: Instruction Task 2
290436.6686575,開始: Task 2: Medium (写経+音声)
290736.9097383,終了: Task 2: Medium (写経+音声)
290736.9114306,開始: Survey after Task 2
290748.2453945,提出: Survey after Task 2
290748.2455362,開始: 休憩 2
290929.020419,終了: 休憩 2
290929.0208167,開始: Instruction Task 3
290942.8649633,開始: Task 3: High (写経+音声)
291243.7331346,終了: Task 3: High (写経+音声)
291243.7357589,開始: Survey after Task 3
291257.65478,提出: Survey after Task 3
291257.654959,開始: Recovery
291558.3220487,終了: Recovery
291558.3223788,開始: 実験完了
291560.3217292,終了: 実験完了
291560.6350831,実験完了
