Timestamp,PPI
289464.5679288,1033
289464.5679592,1073
289464.5679684,1253
289464.5679738,1312
289469.7169306,2350
289469.7170111,1773
289474.6362881,663
289474.6364402,894
289474.6364997,1001
289474.6366427,975
289474.6366911,893
289474.6367782,905
289474.6368332,858
289479.6485592,878
289479.6486529,854
289479.64874,795
289479.6488053,855
289479.6489251,940
289484.4776952,1004
289484.4777879,1006
289484.4778904,919
289484.4779255,907
289484.4780036,910
289484.478064,930
289489.6186539,842
289489.6187515,802
289489.6188107,854
289489.6189053,972
289489.6189577,975
289494.6527349,982
289494.652833,902
289494.652894,864
289494.6529315,880
289494.6529892,872
289494.6531832,935
289499.5720364,991
289499.5722309,566
289499.5722951,754
289499.5724379,733
289499.572454,627
289499.5725084,749
289499.5725474,723
289499.5725869,694
289504.488453,604
289504.488636,695
289504.4887455,645
289504.4888479,726
289504.488941,682
289504.488996,667
289504.4890612,681
289509.5946786,713
289509.5948343,747
289509.5949228,741
289509.5950224,859
289509.5951137,781
289509.5952007,729
289514.6863888,777
289514.6864604,946
289514.6865238,1046
289514.6865886,1069
289514.6866439,1033
289519.459368,1041
289519.4594503,1015
289519.4595082,977
289519.4595703,934
289519.4595906,899
289524.6233688,1031
289524.6234866,1079
289524.6235524,1112
289524.6235912,1032
289524.6236792,923
289529.6438868,898
289529.6440109,989
289529.6441226,1075
289529.6442574,912
289529.6443868,944
289534.6110113,1023
289534.6111239,1035
289534.6111796,950
289534.6112634,1004
289534.6113467,936
289539.4763085,1037
289539.47651,786
289539.47658,798
289539.4766758,810
289539.4767547,860
289539.4767847,980
289544.5796921,1034
289544.5798919,1027
289544.579983,1000
289544.5800582,931
289544.5801127,737
289549.7133948,812
289549.7136096,825
289549.7137206,957
289549.7138138,1037
289549.7139212,1022
289549.7140166,992
289554.5019126,927
289554.5020107,931
289554.5021025,933
289554.5022272,966
289554.5023167,879
289559.6706544,895
289559.6707333,918
289559.6707729,906
289559.6708396,898
289559.6709002,967
289564.5858239,958
289564.5859665,944
289564.5860376,859
289564.5861247,855
289564.5862192,903
289564.586282,901
289564.5864325,869
289569.6868664,859
289569.6870145,511
289569.6870647,512
289569.6871766,1031
289569.6872304,975
289574.4240962,997
289574.4241828,1008
289574.4242727,1006
289574.4243659,934
289574.4244244,938
289579.5487982,995
289579.5489297,1023
289579.5489925,958
289579.5490872,979
289579.5491036,999
289584.7093059,947
289584.7094055,942
289584.7094463,985
289584.7095031,1045
289584.7095739,992
289589.510944,911
289589.5110115,952
289589.5111175,1033
289589.5111349,993
289589.5111955,1046
289594.6832767,1053
289594.6833875,1061
289594.6834763,1025
289594.683526,1003
289594.683574,1012
289599.5737428,1021
289599.5738588,1014
289599.5739029,986
289599.5739638,1018
289599.5740007,1018
289604.7296392,1004
289604.7297123,949
289604.7298128,984
289604.7298907,991
289604.7299581,974
289609.406728,1021
289609.4067507,1047
289609.40681,1051
289609.4068627,979
289609.4069609,1005
289614.5614552,1008
289614.5615638,1010
289614.5616978,943
289614.5617602,943
289614.5618125,945
289614.5619164,849
289619.5822927,844
289619.5824085,869
289619.5824964,1000
289619.5825983,1064
289619.5826637,1048
289624.6871792,983
289624.6872055,898
289624.6873689,886
289624.6873833,821
