Timestamp,EventType,KeyCode,Char
357195.6835799,KeyUp,13,enter
357197.7527001,KeyUp,243,<243>
357197.753028,KeyDown,244,<244>
357199.1847721,KeyDown,84,t
357199.2736087,KeyUp,84,t
357199.2886418,KeyDown,73,i
357199.397985,KeyUp,73,i
357199.5385949,KeyDown,75,k
357199.6412865,KeyUp,75,k
357199.7406709,KeyDown,89,y
357199.8307152,KeyUp,89,y
357199.9004526,KeyDown,85,u
357199.9792162,KeyUp,85,u
357200.0587566,KeyDown,85,u
357200.1089182,KeyUp,85,u
357200.5212262,KeyDown,78,n
357200.5238286,KeyUp,78,n
357200.5526831,KeyDown,72,h
357200.5620616,KeyUp,72,h
357200.5727385,KeyDown,73,i
357200.676022,KeyUp,73,i
357200.9845284,KeyDown,8,backspace
357200.993969,KeyDown,220,\
357201.0539492,KeyUp,220,\
357201.0633064,KeyUp,8,backspace
357201.3031319,KeyDown,8,backspace
357201.3717912,KeyUp,8,backspace
357201.4573144,KeyDown,8,backspace
357201.5174087,KeyUp,8,backspace
357201.9641412,KeyDown,78,n
357202.0341472,KeyDown,73,i
357202.0587508,KeyUp,78,n
357202.1486855,KeyUp,73,i
357202.1930269,KeyDown,72,h
357202.2934205,KeyUp,72,h
357202.3020374,KeyDown,65,a
357202.4021007,KeyDown,32,space
357202.4116662,KeyUp,65,a
357202.497003,KeyDown,13,enter
357202.5067453,KeyUp,32,space
357202.5860207,KeyUp,13,enter
357203.013829,KeyDown,84,t
357203.0891247,KeyDown,65,a
357203.1535894,KeyUp,84,t
357203.2435812,KeyUp,65,a
357203.2530426,KeyDown,75,k
357203.3884425,KeyUp,75,k
357203.4166569,KeyDown,85,u
357203.4774299,KeyDown,83,s
357203.496824,KeyUp,85,u
357203.5713567,KeyDown,65,a
357203.635846,KeyUp,83,s
357203.7252437,KeyUp,65,a
357203.7808295,KeyDown,78,n
357203.8446114,KeyUp,78,n
357203.92435,KeyDown,78,n
357203.9936394,KeyUp,78,n
357204.0499485,KeyDown,78,n
357204.0978898,KeyDown,79,o
357204.1229243,KeyUp,78,n
357204.1931155,KeyUp,79,o
357204.2334361,KeyDown,32,space
357204.3118171,KeyDown,13,enter
357204.3414345,KeyUp,32,space
357204.411887,KeyUp,13,enter
357205.3171963,KeyDown,77,m
357205.4122073,KeyDown,73,i
357205.4570097,KeyUp,77,m
357205.5216133,KeyUp,73,i
357205.5914454,KeyDown,90,z
357205.7298678,KeyUp,90,z
357205.7394704,KeyDown,85,u
357205.8048517,KeyUp,85,u
357206.0779664,KeyDown,71,g
357206.1278122,KeyDown,65,a
357206.2321024,KeyUp,71,g
357206.2769951,KeyDown,32,space
357206.2916405,KeyUp,65,a
357206.3369914,KeyDown,13,enter
357206.4014308,KeyUp,32,space
357206.4415933,KeyUp,13,enter
357206.7153105,KeyDown,83,s
357206.849494,KeyUp,83,s
357206.8593841,KeyDown,79,o
357206.918394,KeyUp,79,o
357207.0274615,KeyDown,78,n
357207.0828246,KeyUp,78,n
357207.1583714,KeyDown,78,n
